cluster_name,snp_level,median_tmrca
snp10_lineage_1_cluster_6,10,7.94
snp10_lineage_1_cluster_7,10,4.35
snp10_lineage_1_cluster_8,10,5.17
snp10_lineage_2_cluster_17,10,3.55
snp10_lineage_2_cluster_3,10,4.31
snp10_lineage_2_cluster_7,10,1.25
snp10_lineage_3_cluster_1,10,13.47
snp10_lineage_4_cluster_107,10,5.88
snp10_lineage_4_cluster_11,10,13.7
snp10_lineage_4_cluster_120,10,0.71
snp10_lineage_4_cluster_159,10,16.81
snp10_lineage_4_cluster_16,10,15.44
snp10_lineage_4_cluster_162,10,5.27
snp10_lineage_4_cluster_173,10,5.61
snp10_lineage_4_cluster_175,10,4.34
snp10_lineage_4_cluster_186,10,13.52
snp10_lineage_4_cluster_189,10,2.89
snp10_lineage_4_cluster_191,10,13.56
snp10_lineage_4_cluster_195,10,12.50 
snp10_lineage_4_cluster_203,10,3.15
snp10_lineage_4_cluster_210,10,4.09
snp10_lineage_4_cluster_22,10,6.40 
snp10_lineage_4_cluster_241,10,4.00 
snp10_lineage_4_cluster_253,10,4.08
snp10_lineage_4_cluster_264,10,4.69
snp10_lineage_4_cluster_270,10,2.73
snp10_lineage_4_cluster_291,10,2.40 
snp10_lineage_4_cluster_31,10,8.33
snp10_lineage_4_cluster_33,10,2.49
snp10_lineage_4_cluster_38,10,2.73
snp10_lineage_4_cluster_387,10,11.76
snp10_lineage_4_cluster_4,10,4.53
snp10_lineage_4_cluster_412,10,3.48
snp10_lineage_4_cluster_42,10,5.14
snp10_lineage_4_cluster_44,10,4.13
snp10_lineage_4_cluster_45,10,4.67
snp10_lineage_4_cluster_46,10,5.27
snp10_lineage_4_cluster_58,10,4.98
snp10_lineage_4_cluster_64,10,15.24
snp10_lineage_4_cluster_67,10,18.43
snp10_lineage_4_cluster_73,10,6.87
snp10_lineage_4_cluster_76,10,5.07
snp10_lineage_4_cluster_8,10,22.14
snp10_lineage_4_cluster_81,10,5.25
snp10_lineage_4_cluster_9,10,7.82
snp10_lineage_4_cluster_91,10,4.61
